xid,e1_dmg,e2_dmg,e3_dmg,e1f_dmg,e2f_dmg,e3f_dmg
2595,0.0,482457.567,1025000.0,482457.567,1025000.0,1025000.0
2596,0.0,0.0,1056396.93,0.0,0.0,1305000.0
13830,33314.68,96694.12,159000.0,96694.12,159000.0,159000.0
13831,51372.100000000006,124071.40000000001,163000.0,124071.40000000001,163000.0,163000.0
13834,43496.56,123847.26000000001,167000.0,123847.26000000001,167000.0,167000.0
13835,21775.170000000002,63652.26,106500.0,63652.26,106500.0,106500.0
13836,24162.13,71786.90000000001,112100.0,71786.90000000001,112100.0,112100.0
13837,52638.3,139959.75,193000.0,139959.75,193000.0,193000.0
13844,80688.88,175421.40000000002,236000.0,175421.40000000002,236000.0,236000.0
16163,37137.36,104617.04000000001,194000.0,104617.04000000001,194000.0,194000.0
77562,29142.85,82175.21800000001,311476.09999999957,82175.21800000001,311476.09999999957,313118.88800000004
