xid,0.5,0.02,0.01,0.005,0.001,0.0,ead
14879,0.0,0.0,0.0,0.0,0.7712,0.964,0.00241
14880,0.0,0.0,0.0,0.0,0.7712,0.964,0.00241
14925,0.0,0.0,0.0,0.0,0.7712,0.964,0.00241
14926,,0.0,0.0,0.0,0.0,,0.0
14927,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14928,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14933,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14934,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14935,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14936,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14937,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14938,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14939,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14940,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14941,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14942,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14943,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14944,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14945,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14946,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14947,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14948,0.0,1.0,1.0,1.0,1.0,1.0,0.26
14955,0.0,1.0,1.0,1.0,1.0,1.0,0.26
15152,0.0,1.0,1.0,1.0,1.0,1.0,0.26
15155,0.0,0.0,1.0,1.0,1.0,1.0,0.015
17873,,0.0,0.0,0.0,0.0,,0.0
17899,0.0,0.0,1.0,1.0,1.0,1.0,0.015
17900,0.0,0.0,0.0,1.0,1.0,1.0,0.0075
17907,0.0,1.0,1.0,1.0,1.0,1.0,0.26
71528,0.0,1.0,1.0,1.0,1.0,1.0,0.26
74651,0.0,1.0,1.0,1.0,1.0,1.0,0.26
75511,,0.0,0.0,0.0,0.0,,0.0
