xid,haz_1000yr_cT2,haz_1000yr_fail_cT3,haz_100yr_cT2,haz_200yr_cT2,haz_50yr_cT2
14879,58997.39488193,111300.0,56812.88,57470.442203,51130.77138343999
14880,72217.36484346667,153700.67200000002,64998.555112,66625.19840925334,63854.72
14925,56468.77308533,115220.52996110001,55071.92,55134.768431,20000.0
14926,49324.442624,94438.93047296,47294.467358719994,48753.92,20000.0
14927,68575.34602893335,147948.29023516667,66581.6,66787.87785666667,54778.5923508
14928,72632.241424,153000.0,68647.63427818,71826.32,20000.0
14933,60155.020923033335,123220.48662588,58475.259094500005,58840.88,20000.0
14934,116561.54031472,131785.024,62503.445159413335,111353.47851448,57718.84705333333
14935,100139.90194504,115081.952,54493.19826624,89162.18605519999,31660.773956
14936,119197.90633921999,133000.0,62040.70638968,65761.10446468,39767.52
14937,100255.68484238666,113579.056,55058.472165666666,96342.06713524999,51442.57593333333
14938,132739.25356050002,136000.0,83893.28465618001,123120.44065092,62796.333600160004
14939,111161.67237678666,126134.89600000001,59910.45979302667,106619.96941234,55704.696202
14940,109608.05252912,126039.77600000001,58718.22485464,104393.4178964,35378.72796800001
14941,66600.0,66600.0,66600.0,66600.0,53526.07555290667
14942,109241.25824516,125687.83200000001,58551.4000377,103724.58585688,55224.232939333335
14943,101747.68776215,104837.528,89234.683672115,92147.72945546,49536.64446386
14944,120000.0,120000.0,120000.0,120000.0,120000.0
14945,0.0,20000.0,0.0,0.0,0.0
14946,106399.7108156,121274.26400000001,57597.24103772001,102533.80683547999,53937.404773999995
14947,101292.82226273335,105000.0,55070.18746573334,92068.50488729999,52149.312245
14948,122569.00323110001,138852.44,65049.0988997,117094.40282255001,60064.97593000001
14955,124000.0,124000.0,112590.08288510499,115908.19836164668,59396.26965889333
15152,20000.0,62525.01148919999,20000.0,20000.0,20000.0
15155,20000.0,58455.94793333333,20000.0,20000.0,20000.0
17873,15000.0,15000.0,0.0,15000.0,0.0
17899,209000.0,209000.0,209000.0,209000.0,205714.57603016004
17900,91000.0,91000.0,50887.788810239996,65172.40276992,48455.6872704
17907,62157.2442798,145640.534,57374.545730000005,59233.19865128667,53866.65386799334
71528,60325.273673493,70661.276378925,15000.0,15000.0,15000.0
74651,154515.359,154515.359,154212.67838855402,154515.359,139707.5303724
75511,0.0,0.0,0.0,0.0,0.0
