xid,haz_1000yr_cT2_dmg,haz_100yr_cT2_dmg,haz_200yr_cT2_dmg,haz_50yr_cT2_dmg
14879,111300.0,111300.0,111300.0,111300.0
14880,153700.67200000002,153700.67200000002,153700.67200000002,153700.67200000002
14925,126924.392,126924.392,126924.392,126924.392
14926,107662.592,107662.592,107662.592,107662.592
14927,162014.16,162014.16,162014.16,162014.16
14928,153000.0,153000.0,153000.0,153000.0
14933,138414.888,138414.888,138414.888,138414.888
14934,131785.024,131785.024,131785.024,131785.024
14935,115081.952,115081.952,115081.952,115081.952
14936,133000.0,133000.0,133000.0,133000.0
14937,113579.056,113579.056,113579.056,113579.056
14938,136000.0,136000.0,136000.0,136000.0
14939,126134.89600000001,126134.89600000001,126134.89600000001,126134.89600000001
14940,126039.77600000001,126039.77600000001,126039.77600000001,126039.77600000001
14941,66600.0,66600.0,66600.0,66600.0
14942,125687.83200000001,125687.83200000001,125687.83200000001,125687.83200000001
14943,104837.528,104837.528,104837.528,104837.528
14944,120000.0,120000.0,120000.0,120000.0
14945,125602.224,125602.224,125602.224,125602.224
14946,121274.26400000001,121274.26400000001,121274.26400000001,121274.26400000001
14947,105000.0,105000.0,105000.0,105000.0
14948,138852.44,138852.44,138852.44,138852.44
14955,124000.0,124000.0,124000.0,124000.0
15152,145215.968,145215.968,145215.968,145215.968
15155,135409.09600000002,135409.09600000002,135409.09600000002,130048.33216666667
17873,283371.47040000005,131545.92200000002,255762.48200000005,131545.92200000002
17899,209000.0,209000.0,209000.0,209000.0
17900,91000.0,91000.0,91000.0,91000.0
17907,145640.534,145640.534,145640.534,145640.534
71528,150934.203,150934.203,150934.203,150934.203
74651,154515.359,154515.359,154515.359,154515.359
75511,0.0,0.0,0.0,0.0
