xid,f0_scale,f0_elv
1,2577188.0,0.0
2,2561000.0,0.0
3,19919255.8,0.0
4,947000.0,0.0
5,35253080.7,0.0
6,1896000.0,0.0
7,15173864.7,0.0
8,1025000.0,0.0
9,34643240.4,0.0
10,10916400.0,0.0
11,4619000.0,0.0
12,11426100.0,0.0
13,8491000.0,0.0
14,6342500.0,0.0
15,13345400.0,0.0
16,3276900.0,0.0
17,14812791.5,0.0
18,31054678.0,0.0
19,783240.4,0.0
20,1143304.9,0.0
21,3790400.0,0.0
22,2129740.4,0.0
23,654300.0,0.0
24,277800.0,0.0
25,1028500.0,0.0
26,9471040.4,0.0
27,476700.0,0.0
28,2469200.0,0.0
29,2460400.0,0.0
30,2905847.5,0.0
31,3638000.0,0.0
32,2116400.0,0.0
33,2211500.0,0.0
34,2061900.0,0.0
35,4716900.0,0.0
36,7034100.0,0.0
37,1353600.0,0.0
38,12460600.0,0.0
39,6048000.0,0.0
40,2261040.4,0.0
42,4954080.7,0.0
43,6956631.9,0.0
44,6512854.3,0.0
45,738454.9,0.0
46,22119000.0,0.0
47,8170890.4,0.0
48,3419898.4,0.0
49,14597700.0,0.0
50,3359100.0,0.0
51,6920400.0,0.0
52,6115800.0,0.0
53,2467344.6,0.0
54,1320000.0,0.0
55,4951814.9,0.0
56,4897900.0,0.0
57,17864500.0,0.0
58,45700.0,0.0
59,2305510.2,0.0
60,2207020.4,0.0
61,3443496.4,0.0
62,392046.4,0.0
63,2981175.9,0.0
64,5134300.0,0.0
65,267240.4,0.0
66,9050500.0,0.0
67,2569900.0,0.0
68,8500040.4,0.0
69,2003089.7,0.0
70,7853100.0,0.0
71,5851740.4,0.0
72,59543516.8,0.0
73,2364300.0,0.0
74,1326800.0,0.0
75,11868900.0,0.0
76,6049180.7,0.0
77,2844300.0,0.0
78,2079100.0,0.0
79,826000.0,0.0
80,17216800.0,0.0
81,2276000.0,0.0
82,1059000.0,0.0
85,13007240.4,0.0
87,1258000.0,0.0
88,1305400.0,0.0
89,4435000.0,0.0
90,1149000.0,0.0
91,23809000.0,0.0
92,2193000.0,0.0
93,2883300.0,0.0
94,482000.0,0.0
95,2819500.0,0.0
96,1611300.0,0.0
97,15825865.4,0.0
98,3514500.0,0.0
99,13275349.6,0.0
100,4987540.4,0.0
101,8827400.0,0.0
102,15628500.0,0.0
103,19846780.7,0.0
104,4825000.0,0.0
105,2992400.0,0.0
106,9889840.4,0.0
107,6279700.0,0.0
108,7802900.0,0.0
109,6577300.0,0.0
110,6124900.0,0.0
111,3640000.0,0.0
112,31492801.4,0.0
113,17075732.0,0.0
114,5695485.6,0.0
115,2080500.0,0.0
116,793000.0,0.0
118,51047403.3,0.0
119,23504875.7,0.0
120,1674303.1,0.0
121,13705040.4,0.0
122,36896600.0,0.0
123,4957680.7,0.0
124,5450674.7,0.0
125,11134700.0,0.0
126,6217300.0,0.0
127,537000.0,0.0
128,4755905.3,0.0
129,10978000.0,0.0
130,10202905.1,0.0
131,25094908.7,0.0
132,35950605.9,0.0
133,9063561.6,0.0
134,3105740.4,0.0
135,2258500.0,0.0
136,1467100.0,0.0
137,3323500.0,0.0
138,2645700.0,0.0
139,14573100.0,0.0
140,1748600.0,0.0
141,2943259.3,0.0
142,9510860.7,0.0
143,4100047.8,0.0
144,409029.4,0.0
145,5452765.0,0.0
146,3960561.5,0.0
147,3439300.0,0.0
148,3546400.0,0.0
149,1152240.4,0.0
150,3099300.0,0.0
151,10690140.4,0.0
152,2355900.0,0.0
153,3644000.0,0.0
154,8998200.0,0.0
155,11810340.4,0.0
156,6326776.0,0.0
157,2976740.4,0.0
158,4764800.0,0.0
159,4578500.0,0.0
160,3445460.9,0.0
161,2923882.5,0.0
162,1291827.9,0.0
163,15582540.5,0.0
164,6620500.0,0.0
165,11108500.0,0.0
166,15778000.0,0.0
167,4593000.0,0.0
168,5267200.0,0.0
169,3112000.0,0.0
170,2280000.0,0.0
171,12866356.0,0.0
172,20856407.1,0.0
173,18476910.3,0.0
174,68100.0,0.0
